Australia,0-19,120.83,119.81,0,0
Australia,20-29,172.76,196.79,0.06,0
Australia,30-39,134.01,130.85,0.11,0
Australia,40-49,109.64,105.59,0.12,0
Australia,50-59,103.96,108.3,0.65,0.32
Australia,60-69,91.69,89.1,2.04,0.9
Australia,70-79,98.03,81.6,11.79,6.03
Australia,80+,460.18,579.74,213.38,191.57
Canada,0-19,603.26,608.66,0.02,0.03
Canada,20-29,1161.05,1215.2,0.27,0.12
Canada,30-39,946.52,987.76,0.42,0.23
Canada,40-49,925.49,1055.88,1.76,0.91
Canada,50-59,797.51,875.53,5.5,4.08
Canada,60-69,635.67,579.03,20.81,12.38
Canada,70-79,636.5,582.94,81.11,52.45
Canada,80+,1532.69,2038.23,465.51,439.81
Czech Republic,0-19,5843.84,5973.01,0.19,0
Czech Republic,20-29,5553.49,5599.21,0.51,0.36
Czech Republic,30-39,4678.7,4933.05,1.54,1.09
Czech Republic,40-49,5247.44,6604.1,3.85,2.54
Czech Republic,50-59,5550.79,6599.93,18.9,9.68
Czech Republic,60-69,3875.07,3311.73,85.03,26.29
Czech Republic,70-79,3623.43,3151.73,325.24,139.55
Czech Republic,80+,35710.21,36253.8,2670.9,3835.83
Denmark,0-19,2315.02,2257.07,0,0
Denmark,20-29,1744.78,1852.14,0,0
Denmark,30-39,1459.83,1513.68,0.3,0
Denmark,40-49,1389.23,1510.08,0,0
Denmark,50-59,1289.86,1351.19,3.22,2.25
Denmark,60-69,913.66,795.73,13.98,8.95
Denmark,70-79,671.52,555.22,59.4,21.63
Denmark,80+,1771.69,1748.17,567.74,433.34
England,0-19,2780.82,3236.65,0.45,0.19
England,20-29,2965.83,3789.55,0.97,0.76
England,30-39,2507.11,3013.58,2.75,2.4
England,40-49,2384.19,2920.16,11.7,6.74
England,50-59,2389.32,2735.08,36.77,17.73
England,60-69,1902.58,1735.46,101.01,51.34
England,70-79,1663.26,1321.53,282.45,147.92
England,80+,3417.41,3348.03,1111.98,718.05
France,0-19,1928.74,2036.03,0.1,0.08
France,20-29,3128.59,3360.52,0.46,0.4
France,30-39,2083.91,2233.35,2.11,1.25
France,40-49,1711.62,1914.11,5.27,3.39
France,50-59,1535.49,1634.51,20.07,9.8
France,60-69,1158.64,1076.65,68.64,26.14
France,70-79,1022.72,837.42,198.77,75.27
France,80+,2900.89,3243.52,1828.14,894.14
Hong Kong,0-19,109.27,101.29,0,0
Hong Kong,20-29,116.4,90.4,0,0
Hong Kong,30-39,95.85,77.27,0.22,0
Hong Kong,40-49,85.21,70.38,0,0
Hong Kong,50-59,75.09,70.14,0.36,0
Hong Kong,60-69,88.35,76.4,1.61,0.98
Hong Kong,70-79,83.02,67.66,9.13,4.03
Hong Kong,80+,58.83,47.42,23.13,11.29
Israel,0-19,7742.43,6436.18,0,0.15
Israel,20-29,5680.28,5460.81,0,0.87
Israel,30-39,4100.26,4111.03,1.96,1.26
Israel,40-49,3983.41,4163.78,3.96,2.14
Israel,50-59,4118.7,4077.22,24.99,13.03
Israel,60-69,3449.27,2735.86,76.77,28.8
Israel,70-79,2848.84,2209.95,238.58,98.27
Israel,80+,5908.72,6355.82,1878.64,1416.25
Italy,0-19,2741.81,2644.67,0.14,0.16
Italy,20-29,2473.07,2504.79,0.32,0.17
Italy,30-39,2094.56,2140.62,1.71,0.82
Italy,40-49,1968.63,2225.19,6.32,2.59
Italy,50-59,2315.22,2349.79,25.95,8.01
Italy,60-69,2080.57,1578.41,95.95,28.4
Italy,70-79,2026.88,1464.05,296.58,111.04
Italy,80+,6178.74,7089.61,1954.71,1323.25
Maldives,0-19,2769.15,2849.71,0,0
Maldives,20-29,2152.6,2206.32,0.9,2.61
Maldives,30-39,2918.56,2238.55,1.25,0
Maldives,40-49,2754.5,2092.33,5.48,8.9
Maldives,50-59,2797.87,1978.35,28.03,18.66
Maldives,60-69,2133.82,1980.85,36.17,39.35
Maldives,70-79,1743.12,1735.94,206.42,122.25
Maldives,80+,587.95,364.84,79.45,34.75
Mexico,0-19,402.59,426.21,2.74,2.9
Mexico,20-29,1575.77,1695.82,14.3,8.4
Mexico,30-39,2662.18,2448.36,66.28,27.12
Mexico,40-49,2981.6,2602.37,213.49,85.91
Mexico,50-59,3318.81,2743.78,520.22,240.27
Mexico,60-69,3417.72,2515.52,1001.92,521.94
Mexico,70-79,3740.52,2449.45,1554.03,802.68
Mexico,80+,1773.03,1016.56,870.07,409.15
Moldova,0-19,1609.87,1646.5,0,0.99
Moldova,20-29,1428.86,1940.65,1.29,1.34
Moldova,30-39,1866.29,2472.14,2.85,4.27
Moldova,40-49,2395.72,3585.94,15.69,17.84
Moldova,50-59,3012.3,4417.1,70.08,57.46
Moldova,60-69,3944.4,4278.02,204.19,146.19
Moldova,70-79,4587,3446.47,499.12,236.46
Moldova,80+,2531.74,1616.54,493.54,226.77
Nepal,0-19,425.17,241.47,0.16,0.37
Nepal,20-29,1687.29,734.44,0.48,0.52
Nepal,30-39,3263.92,816.51,2.29,0.66
Nepal,40-49,2077,684.55,6.2,1.71
Nepal,50-59,1560.37,692.83,10.47,3.3
Nepal,60-69,1155.43,632.23,17.65,5.9
Nepal,70-79,1081.75,623.98,36.82,12.96
Nepal,80+,366.69,211.43,278.71,66.79
Netherlands,0-19,4456.41,4936.4,0.38,0
Netherlands,20-29,6851.83,7715.86,0.55,0
Netherlands,30-39,4903.63,5634.51,2.33,0.99
Netherlands,40-49,4440.79,5316.15,5.34,3.08
Netherlands,50-59,4651.06,4766.62,20.93,10.44
Netherlands,60-69,3238.31,2960.54,87.04,43.92
Netherlands,70-79,2010.01,1846.32,442.8,220.71
Netherlands,80+,5064.26,2658.77,4977.92,3445.53
New Zealand,0-19,35.26,50.24,0,0
New Zealand,20-29,58.62,86.4,0,0
New Zealand,30-39,57.08,60.57,0,0
New Zealand,40-49,47.03,48.48,0,0
New Zealand,50-59,51.71,46.37,0,0
New Zealand,60-69,45.35,38.95,0,0
New Zealand,70-79,30.81,21.03,0,0
New Zealand,80+,44.29,47.67,0,0
Nigeria,0-19,3.37,3.08,0.01,0.02
Nigeria,20-29,11.88,10.5,0.04,0.04
Nigeria,30-39,47.86,36.41,0.23,0.12
Nigeria,40-49,95.06,49.74,0.61,0.27
Nigeria,50-59,98.23,48.84,1.62,0.5
Nigeria,60-69,96.4,47.44,4.33,1.31
Nigeria,70-79,63.85,33.13,8.9,1.99
Nigeria,80+,69.23,36.23,13.11,4.17
Norway,0-19,868.08,897.74,0,0
Norway,20-29,1039.11,1025.83,0.07,0.08
Norway,30-39,905.25,725.45,1.06,0.57
Norway,40-49,798.48,678.96,1.94,0.29
Norway,50-59,694.79,616.87,7.19,2.42
Norway,60-69,454.41,373.41,22.36,11.29
Norway,70-79,324.2,293.12,83.08,52.98
Norway,80+,859.26,874.86,191.72,172.6
Pakistan,0-19,92.51,30.51,0.1,0.07
Pakistan,20-29,94.19,73.74,0.47,0.22
Pakistan,30-39,95.76,76.23,1.17,0.42
Pakistan,40-49,96.24,83.27,3.53,1.72
Pakistan,50-59,97.35,105.62,11.61,4.34
Pakistan,60-69,98.38,111.53,24.58,7.68
Pakistan,70-79,97.22,89.75,27.9,9.3
Pakistan,80+,91.23,89.82,31.97,10.01
Peru,0-19,1445.17,1540.43,4.19,3.58
Peru,20-29,3114.74,3042.61,8.62,4.54
Peru,30-39,4118.72,4101.59,27.27,12.32
Peru,40-49,4571.48,4123.97,98.66,36.86
Peru,50-59,5048.37,4249.77,294.6,101.8
Peru,60-69,4764.09,3914.92,641.61,270.01
Peru,70-79,4811.86,3505.73,1050.08,449.09
Peru,80+,10578.71,6929.51,3630.73,1577.2
Philippines,0-19,169.27,168.64,0.83,0.61
Philippines,20-29,605.62,550,1.32,0.95
Philippines,30-39,756.5,573.33,3.51,1.95
Philippines,40-49,660.8,474.93,8.12,4.3
Philippines,50-59,628.99,514.86,22.27,12.32
Philippines,60-69,603.19,515.15,52.77,28.5
Philippines,70-79,651.94,484.98,103.17,52.15
Philippines,80+,753.38,544.5,170.37,87.3
Portugal,0-19,3723.21,3867.44,0.11,0.16
Portugal,20-29,3641.35,4125.93,0.42,0.18
Portugal,30-39,3018.79,3449.77,1.96,1.12
Portugal,40-49,2527.62,3049.19,6.77,3.14
Portugal,50-59,2433.05,2844.84,20.24,9.98
Portugal,60-69,2046.59,1908.06,64.13,23.94
Portugal,70-79,1764.92,1517.31,187.03,80
Portugal,80+,2711.33,3150.54,586.69,272.75
Slovakia,0-19,3884.56,3760.03,0,0
Slovakia,20-29,4002.73,3979.64,0,0
Slovakia,30-39,3525.73,3673.76,1.84,0
Slovakia,40-49,3962.62,5020.17,1.95,2.07
Slovakia,50-59,3926.51,4854.81,12.79,3.69
Slovakia,60-69,2797.86,2493.96,66.79,23.54
Slovakia,70-79,2970.9,2563.38,262.46,175.4
Slovakia,80+,5786.18,7385.55,1149.58,801.78
South Africa,0-19,1175.14,1507.27,0.7,0.51
South Africa,20-29,1850.02,2903.49,2.1,3.19
South Africa,30-39,3123.76,4545.05,8.43,10.45
South Africa,40-49,4013.34,5271.8,30.71,26.79
South Africa,50-59,4667.74,5612.58,89.9,73.39
South Africa,60-69,3881.75,3804.7,192.93,134.69
South Africa,70-79,4068.77,3343.25,319.58,194.23
South Africa,80+,3469.36,3134.27,739.65,429.18
Switzerland,0-19,3279.65,3425.69,0.22,0
Switzerland,20-29,5180.78,5769.96,0,0
Switzerland,30-39,4317.69,4539.9,0.66,0.5
Switzerland,40-49,3985.8,4583.8,1.18,0.86
Switzerland,50-59,3890.27,4195.76,8.17,2.77
Switzerland,60-69,3324.56,2991.81,39.11,11.85
Switzerland,70-79,2981.23,2526.34,168.29,73.09
Switzerland,80+,4569.25,4833.2,843.89,526.53
Uganda,0-19,3.73,3.54,0,0
Uganda,20-29,29.08,11.57,0.03,0
Uganda,30-39,51.21,14.5,0.17,0.08
Uganda,40-49,46.55,11.54,0.28,0.06
Uganda,50-59,35.77,9.2,0.36,0.22
Uganda,60-69,20.44,6.68,1.23,0.38
Uganda,70-79,9.15,5.45,1.31,0.42
Uganda,80+,39.87,37.14,7.25,3.49
Vietnam,0-19,0.81,0.73,0,0
Vietnam,20-29,2.13,1.8,0,0.03
Vietnam,30-39,2.3,1.54,0.01,0.01
Vietnam,40-49,1.52,1.57,0,0.01
Vietnam,50-59,1.63,1.65,0.06,0.09
Vietnam,60-69,1.71,1.99,0.19,0.16
Vietnam,70-79,1.65,1.3,0.1,0.12
Vietnam,80+,4.83,1.37,1.1,0.51
Wales,0-19,2066.85,2485.91,0,0
Wales,20-29,2378.74,3240.03,0.94,0
Wales,30-39,2064.66,2754.06,2.66,1.05
Wales,40-49,2063.75,2807.66,8.3,7.98
Wales,50-59,1942.69,2589.39,30.02,16.46
Wales,60-69,1294.5,1366.01,94.81,48.82
Wales,70-79,1302.88,1047.94,289.45,163.82
Wales,80+,7500.67,7505.88,2633.63,1676.99
